"filename", "language", "Java", "HTML", "Markdown", "Ini", "comment", "blank", "total"
"g:\My Drive\Java Project\Java Project\UiClasses\ScreenGui.java", "Java", -68, 0, 0, 0, -1, -4, -73
"g:\My Drive\Java Project\Java Project\UiClasses\ScreenSize.java", "Java", -17, 0, 0, 0, -2, -2, -21
"g:\My Drive\Java Project\Java Project\UiClasses\TextBox.java", "Java", -61, 0, 0, 0, 0, -3, -64
"g:\My Drive\Java Project\Java Project\UiClasses\TextLable.java", "Java", -82, 0, 0, 0, 0, -3, -85
"g:\My Drive\Java Project\Java Project\UiClasses\TweenProperty.java", "Java", -7, 0, 0, 0, 0, -2, -9
"g:\My Drive\Java Project\Java Project\UiClasses\UiClasses copy.java", "Java", -308, 0, 0, 0, -23, -14, -345
"g:\My Drive\Java Project\Java Project\UiClasses\UiElement.java", "Java", -11, 0, 0, 0, 0, -2, -13
"g:\My Drive\Java Project\Java Project\UiClasses\UiTween.java", "Java", -98, 0, 0, 0, -1, -5, -104
"g:\My Drive\Java Project\Java Project\assets\Cookware\Pan.java", "Java", -11, 0, 0, 0, 0, -4, -15
"g:\My Drive\Java Project\Java Project\assets\Cookware\Pot.java", "Java", -11, 0, 0, 0, 0, -4, -15
"g:\My Drive\Java Project\Java Project\assets\Counters\Carrot.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Cheese.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\CleanDishCounter.java", "Java", -36, 0, 0, 0, 0, -4, -40
"g:\My Drive\Java Project\Java Project\assets\Counters\CuttingBoard.java", "Java", -36, 0, 0, 0, -3, -3, -42
"g:\My Drive\Java Project\Java Project\assets\Counters\Lettuce.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Meat.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Receive.java", "Java", -36, 0, 0, 0, 0, -2, -38
"g:\My Drive\Java Project\Java Project\assets\Counters\Server.java", "Java", -49, 0, 0, 0, -1, -6, -56
"g:\My Drive\Java Project\Java Project\assets\Counters\Sink.java", "Java", -60, 0, 0, 0, -3, -4, -67
"g:\My Drive\Java Project\Java Project\assets\Counters\Stove.java", "Java", -35, 0, 0, 0, 0, -3, -38
"g:\My Drive\Java Project\Java Project\assets\Counters\Tomato.java", "Java", -21, 0, 0, 0, 0, -2, -23
"g:\My Drive\Java Project\Java Project\assets\Counters\Trashcan.java", "Java", -27, 0, 0, 0, 0, -3, -30
"g:\My Drive\Java Project\Java Project\assets\Counters\counter.java", "Java", -18, 0, 0, 0, -1, -2, -21
"g:\My Drive\Java Project\Java Project\assets\Images\Menu\HowToPlay\desktop.ini", "Ini", 0, 0, 0, -7, 0, 0, -7
"g:\My Drive\Java Project\Java Project\assets\Items\Bread.java", "Java", -22, 0, 0, 0, 0, -1, -23
"g:\My Drive\Java Project\Java Project\assets\Items\Carrot.java", "Java", -41, 0, 0, 0, 0, -1, -42
"g:\My Drive\Java Project\Java Project\assets\Items\Cheese.java", "Java", -33, 0, 0, 0, -2, -1, -36
"g:\My Drive\Java Project\Java Project\assets\Items\Lettuce.java", "Java", -38, 0, 0, 0, 0, -1, -39
"g:\My Drive\Java Project\Java Project\assets\Items\Meat.java", "Java", -29, 0, 0, 0, 0, -2, -31
"g:\My Drive\Java Project\Java Project\assets\Items\Plate.java", "Java", -19, 0, 0, 0, 0, -1, -20
"g:\My Drive\Java Project\Java Project\assets\Items\Potato.java", "Java", -35, 0, 0, 0, 0, -1, -36
"g:\My Drive\Java Project\Java Project\assets\Items\Template.java", "Java", -32, 0, 0, 0, 0, -1, -33
"g:\My Drive\Java Project\Java Project\assets\Items\Tomato.java", "Java", -38, 0, 0, 0, 0, -1, -39
"g:\My Drive\Java Project\Java Project\assets\Levels\Test.java", "Java", -65, 0, 0, 0, -6, -12, -83
"g:\My Drive\Java Project\Java Project\assets\PremadeElements\StartScreen.java", "Java", 98, 0, 0, 0, 4, 11, 113
"g:\My Drive\Java Project\Java Project\assets\Recipes\Burger.java", "Java", -15, 0, 0, 0, 0, -2, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\C.java", "Java", -14, 0, 0, 0, 0, -2, -16
"g:\My Drive\Java Project\Java Project\assets\Recipes\CC.java", "Java", -15, 0, 0, 0, 0, -2, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\Carrot.java", "Java", -15, 0, 0, 0, 0, -2, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\CarrotSoup.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\CheeseBurger.java", "Java", -17, 0, 0, 0, 0, -2, -19
"g:\My Drive\Java Project\Java Project\assets\Recipes\CheeseFrenchFries.java", "Java", -15, 0, 0, 0, 0, -3, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\FrenchFries.java", "Java", -14, 0, 0, 0, 0, -3, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\FriedCarrot.java", "Java", -14, 0, 0, 0, 0, -3, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\FriedTomato.java", "Java", -14, 0, 0, 0, 0, -3, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\LargeBurger.java", "Java", -18, 0, 0, 0, 0, -2, -20
"g:\My Drive\Java Project\Java Project\assets\Recipes\LettuceSoup.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\PotatoSalad.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\PotatoSoup.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\Salad.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\assets\Recipes\SlicedLettuce.java", "Java", -14, 0, 0, 0, 0, -3, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\SlicedTomato.java", "Java", -14, 0, 0, 0, 0, -3, -17
"g:\My Drive\Java Project\Java Project\assets\Recipes\Steak.java", "Java", -14, 0, 0, 0, 0, -2, -16
"g:\My Drive\Java Project\Java Project\assets\Recipes\TomatoSoup.java", "Java", -16, 0, 0, 0, 0, -2, -18
"g:\My Drive\Java Project\Java Project\easingTypes\Back.java", "Java", -39, 0, 0, 0, 0, -8, -47
"g:\My Drive\Java Project\Java Project\easingTypes\Bounce.java", "Java", -21, 0, 0, 0, 0, -6, -27
"g:\My Drive\Java Project\Java Project\easingTypes\Circ.java", "Java", -23, 0, 0, 0, 0, -9, -32
"g:\My Drive\Java Project\Java Project\easingTypes\Cubic.java", "Java", -23, 0, 0, 0, 0, -9, -32
"g:\My Drive\Java Project\Java Project\easingTypes\EaseFunc.java", "Java", -14, 0, 0, 0, 0, 0, -14
"g:\My Drive\Java Project\Java Project\easingTypes\EaseType.java", "Java", -7, 0, 0, 0, 0, 0, -7
"g:\My Drive\Java Project\Java Project\easingTypes\Elastic.java", "Java", -69, 0, 0, 0, 0, -8, -77
"g:\My Drive\Java Project\Java Project\easingTypes\Expo.java", "Java", -27, 0, 0, 0, 0, -9, -36
"g:\My Drive\Java Project\Java Project\easingTypes\Linear.java", "Java", -15, 0, 0, 0, 0, -7, -22
"g:\My Drive\Java Project\Java Project\easingTypes\Quad.java", "Java", -13, 0, 0, 0, 0, -6, -19
"g:\My Drive\Java Project\Java Project\easingTypes\Quart.java", "Java", -13, 0, 0, 0, 0, -6, -19
"g:\My Drive\Java Project\Java Project\easingTypes\Quint.java", "Java", -13, 0, 0, 0, 0, -6, -19
"g:\My Drive\Java Project\Java Project\easingTypes\Sine.java", "Java", -12, 0, 0, 0, 0, -6, -18
"g:\My Drive\Java Project\Java Project\easingTypes\Tween.java", "Java", -49, 0, 0, 0, -3, -6, -58
"g:\My Drive\Java Project\Java Project\easingTypes\easing_terms_of_use.html", "HTML", 0, -38, 0, 0, -3, -3, -44
"Total", "-", -3634, -38, -1117, -7, -141, -730, -5667
